# id	file_path	transparent_color_r	g	b
[TEXTURES]
1	textures\Jason-and-Sophia.png	0	57	115
2	textures\BlasterMaster-Enemies.png	255	0	255
33	textures\NES-Blaster-Master-Area-2.png	255	255	255
44	textures\NES-Blaster-Master-Area-2-Overworld1.png	255	255	255
55	textures\sophia.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# tiled map sprites
0	0	0	0	0	44
1	0	0	16	16	44
2	16	0	32	16	44
3	32	0	48	16	44
4	48	0	64	16	44
5	64	0	80	16	44
6	80	0	96	16	44
7	96	0	112	16	44
8	112	0	128	16	44
9	128	0	144	16	44
10	144	0	160	16	44
11	160	0	176	16	44
12	176	0	192	16	44
13	0	16	16	32	44
14	16	16	32	32	44
15	32	16	48	32	44
16	48	16	64	32	44
17	64	16	80	32	44
18	80	16	96	32	44
19	96	16	112	32	44
20	112	16	128	32	44
21	128	16	144	32	44
22	144	16	160	32	44
23	160	16	176	32	44
24	176	16	192	32	44
25	0	32	16	48	44
26	16	32	32	48	44
27	32	32	48	48	44
28	48	32	64	48	44
29	64	32	80	48	44
30	80	32	96	48	44
31	96	32	112	48	44
32	112	32	128	48	44
33	128	32	144	48	44
34	144	32	160	48	44
35	160	32	176	48	44
36	176	32	192	48	44
37	0	48	16	64	44
38	16	48	32	64	44
39	32	48	48	64	44
40	48	48	64	64	44
41	64	48	80	64	44
42	80	48	96	64	44
43	96	48	112	64	44
44	112	48	128	64	44
45	128	48	144	64	44
46	144	48	160	64	44
47	160	48	176	64	44
48	176	48	192	64	44
49	0	64	16	80	44
50	16	64	32	80	44
51	32	64	48	80	44
52	48	64	64	80	44
53	64	64	80	80	44
54	80	64	96	80	44
55	96	64	112	80	44
56	112	64	128	80	44
57	128	64	144	80	44
58	144	64	160	80	44
59	160	64	176	80	44
60	176	64	192	80	44
61	0	80	16	96	44
62	16	80	32	96	44
63	32	80	48	96	44
64	48	80	64	96	44
65	64	80	80	96	44
66	80	80	96	96	44
67	96	80	112	96	44
68	112	80	128	96	44
69	128	80	144	96	44
70	144	80	160	96	44
71	160	80	176	96	44
72	176	80	192	96	44
73	0	96	16	112	44
74	16	96	32	112	44
75	32	96	48	112	44
76	48	96	64	112	44
77	64	96	80	112	44
78	80	96	96	112	44
79	96	96	112	112	44
80	112	96	128	112	44
81	128	96	144	112	44
82	144	96	160	112	44
83	160	96	176	112	44
84	176	96	192	112	44
85	0	112	16	128	44
86	16	112	32	128	44
87	32	112	48	128	44
88	48	112	64	128	44
89	64	112	80	128	44
90	80	112	96	128	44
91	96	112	112	128	44
92	112	112	128	128	44
93	128	112	144	128	44
94	144	112	160	128	44
95	160	112	176	128	44
96	176	112	192	128	44
97	0	128	16	144	44
98	16	128	32	144	44
99	32	128	48	144	44
100	48	128	64	144	44
101	64	128	80	144	44
102	80	128	96	144	44
